1 0 3995
2 3995 3997
3 7992 4222
4 12214 16823
5 29037 12327
6 41364 14342
7 55706 8869
8 64575 8076
9 72651 4807
10 77458 11425
11 88883 3405
12 92288 5004
13 97292 4584
14 101876 4188
15 106064 5560
16 111624 3451
17 115075 4294
18 119369 4076
19 123445 6569
20 130014 3805
21 133819 5531
22 139350 3424
23 142774 4504
24 147278 24367
25 171645 2034
26 173679 4969
27 178648 4951
28 183599 5054
29 188653 4191
30 192844 3988
31 196832 3346
32 200178 23997
33 224175 1976
34 226151 5351
35 231502 15735
36 247237 10359
37 257596 1877
38 259473 5109
39 264582 5652
40 270234 3258
41 273492 6458
42 279950 7347
43 287297 5314
44 292611 6605
45 299216 3932
46 303148 6331
47 309479 5022
48 314501 6903
49 321404 4233
50 325637 8220
51 333857 5037
52 338894 4540
53 343434 34052
54 377486 1959
55 379445 4437
56 383882 4165
57 388047 2266
58 390313 21474
59 411787 5181
60 416968 4799
61 421767 4381
62 426148 2206
63 428354 4533
64 432887 4298
65 437185 4336
66 441521 22548
67 464069 4709
68 468778 3923
69 472701 5094
70 477795 2141
71 479936 4584
72 484520 5418
73 489938 5547
74 495485 5167
75 500652 5603
76 506255 6213
77 512468 3475
78 515943 5246
79 521189 4747
80 525936 4826
81 530762 3788
82 534550 6850
83 541400 4834
84 546234 4472
85 550706 2296
86 553002 25040
87 578042 4779
88 582821 5084
89 587905 9497
90 597402 10302
91 607704 4182
92 611886 4333
93 616219 3928
94 620147 5931
95 626078 24235
96 650313 2330
97 652643 5154
98 657797 5167
99 662964 5469
100 668433 3987
101 672420 3874
102 676294 4621
103 680915 4900
104 685815 19095
105 704910 2338
106 707248 4719
107 711967 8030
108 719997 7917
109 727914 2853
110 730767 5070
111 735837 7576
112 743413 5102
113 748515 5884
114 754399 6223
115 760622 3873
116 764495 7690
117 772185 4741
118 776926 4493
119 781419 3625
120 785044 7432
121 792476 5073
122 797549 5081
123 802630 23898
124 826528 2316
125 828844 3823
126 832667 6750
127 839417 4751
128 844168 4974
129 849142 3498
130 852640 15594
131 868234 4808
132 873042 4031
133 877073 4098
134 881171 2157
135 883328 4605
136 887933 9070
137 897003 4150
138 901153 4597
139 905750 3022
140 908772 9021
141 917793 8261
142 926054 2371
143 928425 3779
144 932204 5227
145 937431 5201
146 942632 4903
147 947535 19075
148 966610 4773
149 971383 2726
150 974109 5206
151 979315 2805
152 982120 11015
153 993135 4476
154 997611 5715
155 1003326 4320
156 1007646 6034
157 1013680 4816
158 1018496 4314
159 1022810 3942
160 1026752 5467
161 1032219 4745
162 1036964 5734
163 1042698 22476
164 1065174 2544
165 1067718 4496
166 1072214 4387
167 1076601 5275
168 1081876 2584
169 1084460 4377
170 1088837 3722
171 1092559 4352
172 1096911 6254
173 1103165 27016
174 1130181 2533
175 1132714 5347
176 1138061 199
177 1138260 182
178 1138442 5170
179 1143612 16054
180 1159666 2175
181 1161841 2540
182 1164381 4108
183 1168489 3190
184 1171679 4199
185 1175878 3622
186 1179500 10437
187 1189937 13146
188 1203083 4805
189 1207888 5750
190 1213638 7628
191 1221266 7851
192 1229117 5381
193 1234498 7498
194 1241996 4511
195 1246507 3540
196 1250047 4470
197 1254517 6727
198 1261244 4963
199 1266207 32161
200 1298368 2268
201 1300636 13210
202 1313846 11108
203 1324954 7214
204 1332168 3637
205 1335805 12620
206 1348425 4461
207 1352886 2955
208 1355841 8502
209 1364343 2724
210 1367067 3300
211 1370367 2295
212 1372662 4459
213 1377121 16517
214 1393638 2341
215 1395979 4312
216 1400291 7327
217 1407618 4372
218 1411990 1985
219 1413975 5658
220 1419633 21929
221 1441562 2334
222 1443896 1959
223 1445855 2476
224 1448331 2845
225 1451176 18703
226 1469879 4331
227 1474210 6591
228 1480801 9951
229 1490752 4694
230 1495446 4514
231 1499960 3860
232 1503820 1957
233 1505777 6815
234 1512592 2767
235 1515359 5095
236 1520454 7249
237 1527703 3653
238 1531356 4928
239 1536284 7088
240 1543372 4678
241 1548050 5749
242 1553799 4426
243 1558225 2235
244 1560460 22686
245 1583146 4674
246 1587820 3849
247 1591669 13556
248 1605225 2101
249 1607326 2191
250 1609517 3029
251 1612546 1755
252 1614301 19697
253 1633998 4525
254 1638523 3836
255 1642359 4787
256 1647146 2521
257 1649667 2287
258 1651954 2994
259 1654948 2422
260 1657370 3017
261 1660387 23019
262 1683406 4548
263 1687954 7366
264 1695320 2292
265 1697612 4113
266 1701725 2023
267 1703748 2070
268 1705818 3847
269 1709665 6201
270 1715866 5896
271 1721762 4434
272 1726196 4792
273 1730988 5376
274 1736364 3907
275 1740271 4607
276 1744878 24794
277 1769672 2289
278 1771961 4163
279 1776124 4163
280 1780287 4677
281 1784964 2706
282 1787670 2289
283 1789959 2479
284 1792438 2913
285 1795351 16877
286 1812228 4524
287 1816752 4527
288 1821279 2146
289 1823425 8402
290 1831827 2449
291 1834276 2933
292 1837209 2847
293 1840056 2907
294 1842963 20729
295 1863692 5478
296 1869170 4213
297 1873383 10969
298 1884352 2332
299 1886684 4586
300 1891270 2918
301 1894188 5272
302 1899460 4099
303 1903559 6669
304 1910228 6877
305 1917105 4267
306 1921372 3219
307 1924591 4828
308 1929419 2002
309 1931421 5170
310 1936591 2244
311 1938835 4035
312 1942870 4304
313 1947174 209
314 1947383 2464
315 1949847 15654
316 1965501 2305
317 1967806 3201
318 1971007 4253
319 1975260 2744
320 1978004 2539
321 1980543 21514
322 2002057 4221
323 2006278 16589
324 2022867 4078
325 2026945 2304
326 2029249 4296
327 2033545 17191
328 2050736 4643
329 2055379 2144
330 2057523 9827
331 2067350 5305
332 2072655 5610
333 2078265 4297
334 2082562 9044
335 2091606 5653
336 2097259 5215
337 2102474 7149
338 2109623 6884
339 2116507 6695
340 2123202 5246
341 2128448 29561
342 2158009 3336
343 2161345 3982
344 2165327 5563
345 2170890 7669
346 2178559 1985
347 2180544 2363
348 2182907 3064
349 2185971 4433
350 2190404 3088
351 2193492 2707
352 2196199 3861
353 2200060 2978
354 2203038 21311
355 2224349 5762
356 2230111 7471
357 2237582 4222
358 2241804 4700
359 2246504 1993
360 2248497 6254
361 2254751 2923
362 2257674 2532
363 2260206 2269
364 2262475 3133
365 2265608 13918
366 2279526 4277
367 2283803 4708
368 2288511 1881
369 2290392 4549
370 2294941 5680
371 2300621 2334
372 2302955 2482
373 2305437 4686
374 2310123 9188
375 2319311 7570
376 2326881 4208
377 2331089 5334
378 2336423 3053
379 2339476 16020
380 2355496 5041
381 2360537 6079
382 2366616 4418
383 2371034 2320
384 2373354 2742
385 2376096 2066
386 2378162 2918
387 2381080 2530
388 2383610 13058
389 2396668 4780
390 2401448 4879
391 2406327 7358
392 2413685 2084
393 2415769 6249
394 2422018 12425
395 2434443 5937
396 2440380 5306
397 2445686 7449
398 2453135 2301
399 2455436 3216
400 2458652 2524
401 2461176 2789
402 2463965 17573
403 2481538 4139
404 2485677 5296
405 2490973 2403
406 2493376 2385
407 2495761 6510
408 2502271 7264
409 2509535 4697
410 2514232 3682
411 2517914 1920
412 2519834 4106
413 2523940 4548
414 2528488 2746
415 2531234 4426
416 2535660 5208
417 2540868 2211
418 2543079 22294
419 2565373 4016
420 2569389 4158
421 2573547 2503
422 2576050 17063
423 2593113 5113
424 2598226 3372
425 2601598 2222
426 2603820 2579
427 2606399 3577
428 2609976 14626
429 2624602 3865
430 2628467 12988
431 2641455 4657
432 2646112 3475
433 2649587 2162
434 2651749 5355
435 2657104 1993
436 2659097 2519
437 2661616 3123
438 2664739 15000
439 2679739 3776
440 2683515 4660
441 2688175 3591
442 2691766 2532
443 2694298 2830
444 2697128 4709
445 2701837 8312
446 2710149 6761
447 2716910 9473
448 2726383 3599
449 2729982 3822
450 2733804 3985
451 2737789 2297
452 2740086 7748
453 2747834 21640
454 2769474 9836
455 2779310 7085
456 2786395 5223
457 2791618 5232
458 2796850 6083
459 2802933 5957
460 2808890 6029
461 2814919 3617
462 2818536 4392
463 2822928 4792
464 2827720 4739
465 2832459 5074
466 2837533 4803
467 2842336 2527
468 2844863 2329
469 2847192 4728
470 2851920 21945
471 2873865 1484
472 2875349 3689
473 2879038 2008
474 2881046 3224
475 2884270 2869
476 2887139 7585
477 2894724 418
478 2895142 520
479 2895662 11268
480 2906930 4499
481 2911429 3684
482 2915113 9034
483 2924147 3415
484 2927562 2059
485 2929621 2009
486 2931630 7139
487 2938769 6472
488 2945241 3698
489 2948939 2254
490 2951193 14977
491 2966170 6422
492 2972592 1336
493 2973928 1983
494 2975911 2945
495 2978856 2592
496 2981448 2144
497 2983592 1596
498 2985188 748
499 2985936 1398
500 2987334 742
501 2988076 394
502 2988470 3995
503 2992465 3932
504 2996397 3070
505 2999467 4172
506 3003639 7615
507 3011254 5445
508 3016699 1363
509 3018062 5334
510 3023396 1180
511 3024576 936
512 3025512 1866
513 3027378 2427
514 3029805 5504
515 3035309 2518
516 3037827 8108
517 3045935 2478
518 3048413 923
519 3049336 854
520 3050190 1650
521 3051840 2246
522 3054086 7294
523 3061380 1648
524 3063028 4776
525 3067804 2464
526 3070268 3645
527 3073913 2700
528 3076613 6976
529 3083589 2311
530 3085900 3030
531 3088930 4612
532 3093542 2892
533 3096434 1913
534 3098347 1282
535 3099629 4745
536 3104374 1642
537 3106016 1011
538 3107027 1808
539 3108835 4617
540 3113452 1681
541 3115133 2693
542 3117826 1885
543 3119711 2642
544 3122353 9098
545 3131451 3559
546 3135010 6166
547 3141176 3377
548 3144553 2964
549 3147517 7890
550 3155407 1742
551 3157149 2209
552 3159358 1655
553 3161013 971
554 3161984 2396
555 3164380 1687
556 3166067 1789
557 3167856 15087
558 3182943 7395
559 3190338 3151
560 3193489 1683
561 3195172 1419
562 3196591 7696
563 3204287 2000
564 3206287 2122
565 3208409 1792
566 3210201 1694
567 3211895 2085
568 3213980 1165
569 3215145 1956
570 3217101 1562
571 3218663 2561
572 3221224 2008
573 3223232 3753
574 3226985 943
575 3227928 1208
576 3229136 1927
577 3231063 1439
578 3232502 3812
579 3236314 5719
580 3242033 2241
581 3244274 2903
582 3247177 1505
583 3248682 5751
584 3254433 2659
585 3257092 1288
586 3258380 1335
587 3259715 7956
588 3267671 1713
589 3269384 2831
590 3272215 1243
591 3273458 1431
592 3274889 5125
593 3280014 3042
594 3283056 1297
595 3284353 2789
596 3287142 1444
597 3288586 930
598 3289516 2776
599 3292292 1495
600 3293787 908
601 3294695 3001
602 3297696 1223
603 3298919 8780
604 3307699 2609
605 3310308 1625
606 3311933 2235
607 3314168 1991
608 3316159 6254
609 3322413 2079
610 3324492 1567
611 3326059 3148
612 3329207 4060
613 3333267 2684
614 3335951 2883
615 3338834 1037
616 3339871 1419
617 3341290 5506
618 3346796 1647
619 3348443 3619
620 3352062 2081
621 3354143 5809
622 3359952 6781
623 3366733 1221
624 3367954 1520
625 3369474 357
626 3369831 2199
627 3372030 1742
628 3373772 2946
629 3376718 1220
630 3377938 1960
631 3379898 922
632 3380820 1868
633 3382688 2967
634 3385655 6886
635 3392541 2661
636 3395202 1563
637 3396765 1768
638 3398533 1705
639 3400238 960
640 3401198 8959
641 3410157 5610
642 3415767 5668
643 3421435 5485
644 3426920 6742
645 3433662 2073
646 3435735 19456
647 3455191 7680
648 3462871 1819
649 3464690 1237
650 3465927 3035
651 3468962 2692
652 3471654 4174
653 3475828 1412
654 3477240 594
655 3477834 6571
656 3484405 2415
657 3486820 1828
658 3488648 3346
659 3491994 1888
660 3493882 13758
661 3507640 541
662 3508181 1639
663 3509820 3030
664 3512850 2367
665 3515217 2831
666 3518048 18373
667 3536421 1975
668 3538396 3140
669 3541536 2457
670 3543993 7793
671 3551786 2670
672 3554456 2021
673 3556477 6224
674 3562701 4252
675 3566953 4372
676 3571325 3841
677 3575166 6894
678 3582060 3611
679 3585671 3291
680 3588962 4631
681 3593593 5273
682 3598866 4450
683 3603316 3426
684 3606742 4128
685 3610870 1146
686 3612016 7954
687 3619970 4578
688 3624548 4396
689 3628944 4381
690 3633325 4093
691 3637418 5571
692 3642989 7805
693 3650794 2353
694 3653147 2134
695 3655281 2957
696 3658238 2951
697 3661189 4621
698 3665810 5436
699 3671246 3175
700 3674421 4095
701 3678516 5467
702 3683983 4689
703 3688672 5125
704 3693797 2497
705 3696294 2735
706 3699029 2975
707 3702004 8269
708 3710273 1235
709 3711508 777
710 3712285 210
711 3712495 4155
712 3716650 3351
713 3720001 1551
714 3721552 9956
715 3731508 3075
716 3734583 8762
717 3743345 3970
718 3747315 5252
719 3752567 4939
720 3757506 8591
721 3766097 4804
722 3770901 3927
723 3774828 528
724 3775356 4693
725 3780049 4401
726 3784450 3821
727 3788271 5832
728 3794103 7224
729 3801327 6476
730 3807803 2580
731 3810383 3367
732 3813750 974
733 3814724 22918
734 3837642 18588
735 3856230 2590
736 3858820 8484
737 3867304 1653
738 3868957 2401
739 3871358 7143
740 3878501 3346
741 3881847 11021
742 3892868 2882
743 3895750 3518
744 3899268 3229
745 3902497 4843
746 3907340 7272
747 3914612 6910
748 3921522 6199
749 3927721 1081
750 3928802 2792
751 3931594 3453
752 3935047 1053
753 3936100 2444
754 3938544 1560
755 3940104 6351
756 3946455 13632
757 3960087 2104
758 3962191 12960
759 3975151 6477
760 3981628 2885
761 3984513 5039
762 3989552 1970
763 3991522 9052
764 4000574 6571
765 4007145 2487
766 4009632 6453
767 4016085 1620
768 4017705 217
769 4017922 2817
770 4020739 944
771 4021683 1121
772 4022804 15574
773 4038378 6429
774 4044807 13960
775 4058767 733
776 4059500 2766
777 4062266 2048
778 4064314 2605
779 4066919 2781
780 4069700 1774
781 4071474 20060
782 4091534 9035
783 4100569 3568
784 4104137 3550
785 4107687 3391
786 4111078 2099
787 4113177 3358
788 4116535 426
789 4116961 2543
790 4119504 2905
791 4122409 13926
792 4136335 1803
793 4138138 4104
794 4142242 2756
795 4144998 2965
796 4147963 925
797 4148888 684
798 4149572 20146
799 4169718 3842
800 4173560 226
801 4173786 28632
802 4202418 7397
803 4209815 9327
804 4219142 30308
805 4249450 19679
806 4269129 946
807 4270075 612
808 4270687 2320
809 4273007 1610
810 4274617 4961
811 4279578 3311
812 4282889 4044
813 4286933 2496
814 4289429 4587
815 4294016 1999
816 4296015 665
817 4296680 417
818 4297097 9915
819 4307012 2296
820 4309308 30448
821 4339756 3538
822 4343294 927
823 4344221 3119
824 4347340 326
825 4347666 19027
826 4366693 1298
827 4367991 2175
828 4370166 2604
829 4372770 2546
830 4375316 1240
831 4376556 8995
832 4385551 3643
833 4389194 2141
834 4391335 22091
835 4413426 848
836 4414274 391
837 4414665 1147
838 4415812 3840
839 4419652 3534
840 4423186 3246
841 4426432 1573
842 4428005 1342
843 4429347 2012
844 4431359 2153
845 4433512 1279
846 4434791 1309
847 4436100 3891
848 4439991 548
849 4440539 6466
850 4447005 2570
851 4449575 3668
852 4453243 816
853 4454059 1267
854 4455326 2413
855 4457739 685
856 4458424 784
857 4459208 5013
858 4464221 3236
859 4467457 3739
860 4471196 4252
861 4475448 3609
862 4479057 14609
863 4493666 3056
864 4496722 4824
865 4501546 4107
866 4505653 2625
867 4508278 2728
868 4511006 3574
869 4514580 3472
870 4518052 4002
871 4522054 1256
872 4523310 4176
873 4527486 3678
874 4531164 4323
875 4535487 3797
876 4539284 4375
877 4543659 3072
878 4546731 1692
879 4548423 4307
880 4552730 3739
881 4556469 3181
882 4559650 4000
883 4563650 4162
884 4567812 3546
885 4571358 3646
886 4575004 3808
887 4578812 4007
888 4582819 4313
889 4587132 10514
890 4597646 3766
891 4601412 4722
892 4606134 3506
893 4609640 4024
894 4613664 4779
895 4618443 4188
896 4622631 3954
897 4626585 3481
898 4630066 2848
899 4632914 3093
900 4636007 3135
901 4639142 4064
